topic_id,topic_label,document_count,share_of_documents,top_terms,sample_title
7,topic_07,2045,0.2823805578569456,"작전, 북한, 지상군, 군사, 정권, 다른, 능력, 협상, 전략, 무기, 군사 작전, 투입","미 해병 2200명 태운 강습상륙함, 싱가포르 접근…호르무즈 이동 [이슈PLAY] / JTBC News"
0,topic_00,1240,0.1712234189450428,"드론, 미군, 기지, 아랍, 에미리트, 아랍 에미리트, 미군 기지, 지역, 두바, 피해, 레바논, 탄도","취재 중 기자 향해 미사일 '쾅'…러 ""언론인 표적 공격"" 주장 #소셜픽 / JTBC 아침&"
3,topic_03,1061,0.14650648991991164,"달러, 가격, 유가, 국제, 시장, 배럴당, 원유, 상승, 배럴당 달러, 국제 유가, 물가, 증시","[속보] 이란 공격받은 카타르 ""한국에 LNG 불가항력 선언 할 수도"" [이슈PLAY] / JTBC News"
1,topic_01,920,0.12703673018503175,"해협, 호르무즈, 호르무즈 해협, 선박, 유조선, 원유, 봉쇄, 호르무주, 해업, 기회, 호르무주 해협, 해협 봉쇄","이란 ""일본과 해협 통행 협상 중""…이스라엘은 공습 본격화 / JTBC 뉴스룸"
5,topic_05,750,0.1035625517812759,"혁명, 수비대, 혁명 수비대, 모즈타바, 하메, 이슬람, 이슬람 혁명, 선출, 하메네, 사망, 후계자, 회의",미국과 협상할 유일한 인물 죽였다…이스라엘이 노린 것 [이슈PLAY] / JTBC News
6,topic_06,590,0.08146920740127037,"중국, 일본, 파병, 한국, 요청, 파견, 회담, 총리, 영국, 프랑스, 정상회담, 요구","다카이치 면전서 '진주만' 꺼낸 트럼프…""일본 더 나서야"" 압박 [이슈PLAY] / JTBC News"
4,topic_04,556,0.0767743717205192,"시설, 에너지, 카타르, 석유, 가스, 에너지 시설, 가스전, lng, 최대, 생산, 보복, 폭격","전 세계 20% 공급 'LNG 심장' 타격...이란 ""또 공격? 걸프 에너지시설 완전 파괴"" ｜지금 이 뉴스"
2,topic_02,80,0.011046672190002762,"as, 무기, cbs, dc, 연합, 선박들, 호위, 튜르키, 일부, di, 배가, 번째","""방패 아닌 족쇄"" 미국 풍자…트럼프 ‘긁는’ 중국｜지금 이 장면"
